ID,UserID,Email,Username,HasBio,DoB,TweetID,LikeID,RetweetID,Date,Time,Table
1,1,gwilliams@yahoo.com,gwilliams,FALSE,1994-09-23,,,,,,User
2,2,tammy59@gmail.com,tammy59,TRUE,1999-04-12,,,,,,User
3,3,donald19@archer-patel.org,dnld19,TRUE,1998-05-06,,,,,,User
4,4,corey15@castro-gomez.com,csg99,FALSE,1995-02-16,,,,,,User
5,5,hramos@brown-sellers.com,ramos998,FALSE,1994-10-02,,,,,,User
6,6,ypage@garrett.com,ypageg,TRUE,2000-11-17,,,,,,User
7,7,jane13@walker.net,jw13,TRUE,1996-04-08,,,,,,User
8,8,millerluke@hotmail.com,millerluke,FALSE,1996-01-22,,,,,,User
9,9,turnerkelly@gmail.com,tk12,TRUE,1995-02-15,,,,,,User
10,10,tamaramorrison@hotmail.com,maramor,FALSE,1997-05-08,,,,,,User
11,11,zdavis@yahoo.com,davad,TRUE,1995-01-05,,,,,,User
12,12,kellylopez@gmail.com,kelslopez,TRUE,1997-12-09,,,,,,User
13,13,thomas12@mclean.net,tt12,FALSE,2000-08-13,,,,,,User
14,14,aimee33@hotmail.com,aimee33,FALSE,1996-10-22,,,,,,User
15,15,shannon51@yahoo.com,shannon515,TRUE,1995-07-28,,,,,,User
16,16,vmatthews@sanchez.com,mtthewv,TRUE,1992-05-23,,,,,,User
17,17,nathanjackson@cabrera-garcia.com,jacksonnathan,FALSE,1999-07-21,,,,,,User
18,18,montoyacynthia@guzman.com,cynmontoya,FALSE,2000-10-27,,,,,,User
19,19,hdavis@jacobs.com,hdavis,TRUE,1996-01-11,,,,,,User
20,20,zclark@giles.net,zclark,FALSE,2000-11-18,,,,,,User
21,21,huffchad@gmail.com,chadhuf,FALSE,1995-04-15,,,,,,User
22,22,ryan08@yahoo.com,ryanryan8,TRUE,1995-12-17,,,,,,User
23,23,lyonspeter@howard-dennis.org,peterlyons,TRUE,1990-01-16,,,,,,User
24,24,tammybrown@moore.com,browntammyyyy,TRUE,2002-03-13,,,,,,User
25,25,alexandermaldonado@hotmail.com,maldo2,TRUE,1999-08-14,,,,,,User
26,26,paul42@hotmail.com,paul42,TRUE,1994-03-15,,,,,,User
27,27,vharmon@williams.info,harmonyvv,TRUE,2001-05-23,,,,,,User
28,28,emily99@gmail.com,em9,TRUE,1993-11-06,,,,,,User
29,29,pgoodman@gmail.com,paulgoodman,TRUE,1994-08-19,,,,,,User
30,30,hollymoore@walsh.org,hollymoorex,FALSE,1990-12-25,,,,,,User
31,31,moralesjacqueline@yahoo.com,jacqmer,TRUE,1996-03-16,,,,,,User
32,32,seangreen@griffin.net,sean22,TRUE,1993-10-31,,,,,,User
33,33,simpsonlarry@williams-carson.biz,larrywheels,FALSE,1991-06-21,,,,,,User
34,34,monroedavid@morales.biz,davidmonroe,FALSE,1994-02-22,,,,,,User
35,35,lewisjennifer@gmail.com,jenniferlw,FALSE,1997-10-24,,,,,,User
36,36,davidbanks@ramirez-good.com,dbanks,FALSE,1997-05-12,,,,,,User
37,37,bburton@yahoo.com,burtonm,FALSE,1995-02-19,,,,,,User
38,38,callahandennis@hotmail.com,dennis42,TRUE,1994-08-12,,,,,,User
39,39,wigginsjoshua@gmail.com,joshjoshua,FALSE,1992-03-27,,,,,,User
40,40,harrisjordan@potts-mays.com,jordanharris,TRUE,1996-09-11,,,,,,User
41,41,xbowman@hotmail.com,daniel85,FALSE,1991-05-18,,,,,,User
42,42,nicholascarter@hernandez.com,nickcarter,FALSE,1999-11-22,,,,,,User
43,43,morganchristine@gmail.com,morganchristine,TRUE,1995-11-15,,,,,,User
44,44,edwardsilva@yahoo.com,silvaedward,FALSE,1991-11-09,,,,,,User
45,45,kellywoods@gmail.com,kellywood,FALSE,1998-03-01,,,,,,User
46,46,hayden81@powell-murphy.biz,silverman,FALSE,1990-08-12,,,,,,User
47,47,hoffmantimothy@randall-cherry.com,timewthy,TRUE,1995-09-13,,,,,,User
48,48,fwilson@johnson-rogers.com,jjk2,TRUE,1996-03-07,,,,,,User
49,49,odrake@jones.com,olidrake,TRUE,2003-06-20,,,,,,User
50,50,cruzcorey@stone.org,cruzb,TRUE,1999-12-22,,,,,,User
1,9,,,,,1,,,2024-02-18,8:55:00,Tweet
2,3,,,,,2,,,2023-12-11,18:02:00,Tweet
3,48,,,,,3,,,2023-12-12,17:02:00,Tweet
4,37,,,,,4,,,2023-12-13,2:27:00,Tweet
5,40,,,,,5,,,2023-12-14,17:18:00,Tweet
6,36,,,,,6,,,2023-12-15,6:47:00,Tweet
7,45,,,,,7,,,2023-12-16,13:38:00,Tweet
8,16,,,,,8,,,2023-12-17,22:13:00,Tweet
9,18,,,,,9,,,2023-12-18,8:00:00,Tweet
10,3,,,,,10,,,2023-12-19,16:01:00,Tweet
11,14,,,,,11,,,2023-12-20,10:24:00,Tweet
12,25,,,,,12,,,2023-12-21,4:02:00,Tweet
13,22,,,,,13,,,2023-12-22,13:45:00,Tweet
14,34,,,,,14,,,2023-12-23,17:12:00,Tweet
15,34,,,,,15,,,2023-12-24,12:40:00,Tweet
16,38,,,,,16,,,2023-12-25,19:05:00,Tweet
17,15,,,,,17,,,2023-12-26,5:41:00,Tweet
18,15,,,,,18,,,2023-12-27,15:45:00,Tweet
19,11,,,,,19,,,2023-12-28,2:57:00,Tweet
